But	CC	B-O	False
the	DT	B-NP	False
staff	NN	I-NP	True
was	VBD	B-VP	False
so	RB	B-ADJP	False
horrible	JJ	I-ADJP	False
to	TO	B-PP	False
us	CD	B-NP	False
.	.	.	False
To	TO	B-VP	False
be	VB	I-VP	False
completely	RB	I-VP	False
fair,	VBZ	I-VP	False
the	DT	B-NP	False
only	JJ	I-NP	False
redeeming	JJ	I-NP	False
factor	NN	I-NP	False
was	VBD	B-VP	False
the	DT	B-NP	False
food,	NNS	I-NP	False
which	WDT	B-NP	False
was	VBD	B-VP	False
above	IN	B-PP	False
average,	NNS	B-NP	False
but	CC	B-O	False
couldn't	RB	B-VP	False
make	VB	I-VP	False
up	RP	B-PRT	False
for	IN	B-PP	False
all	PDT	B-NP	False
the	DT	I-NP	False
other	JJ	I-NP	False
deficiencies	NNS	I-NP	False
of	IN	B-PP	False
Teodora	.	B-O	False
.	.	.	False
The	DT	B-NP	False
food	NN	I-NP	True
is	VBZ	B-VP	False
uniformly	RB	B-ADJP	False
exceptional,	JJ	I-ADJP	False
with	IN	B-PP	False
a	DT	B-NP	False
very	RB	I-NP	False
capable	JJ	I-NP	False
kitchen	NN	I-NP	True
which	WDT	B-NP	False
will	MD	B-VP	False
proudly	RB	I-VP	False
whip	VB	I-VP	False
up	IN	B-PRT	False
whatever	WDT	B-NP	False
you	PRP	B-NP	False
feel	VBP	B-VP	False
like	IN	B-PP	False
eating,	NNP	B-NP	False
whether	IN	B-SBAR	False
it's	NNP	B-O	False
on	IN	B-PP	False
the	DT	B-NP	False
menu	NN	I-NP	True
or	CC	I-NP	False
not	NN	I-NP	False
.	.	.	False
Where	WRB	B-ADVP	False
Gabriela	NNP	B-NP	False
personaly	RB	B-ADVP	False
greets	VBZ	B-VP	False
you	PRP	B-NP	False
and	CC	B-O	False
recommends	VBZ	B-VP	False
you	PRP	B-NP	False
what	WP	B-NP	False
to	TO	B-PP	False
eat	NNP	B-NP	False
.	.	.	False
For	IN	B-PP	False
those	DT	B-NP	False
that	WDT	B-NP	False
go	VBP	B-VP	False
once	RB	B-ADVP	False
and	CC	B-O	False
don't	RB	B-VP	False
enjoy	VB	I-VP	False
it,	NNS	B-NP	False
all	DT	B-O	False
I	PRP	B-NP	False
can	MD	B-VP	False
say	VB	I-VP	False
is	VBZ	B-VP	False
that	IN	B-SBAR	False
they	PRP	B-NP	False
just	RB	B-VP	False
don't	RB	I-VP	False
get	VB	I-VP	False
it	NN	B-NP	False
.	.	.	False
Not	RB	B-CONJP	False
